transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300.0,129.0,900.0
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500.0,145.0,1500.0
559,12-12-2022,10:48:00,5,Female,40,Clothing,4,300.0,84.0,1200.0
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300.0,129.0,900.0
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500.0,235.0,1500.0
1559,20-08-2022,07:40:00,49,Female,40,Clothing,4,300.0,144.0,1200.0
163,31-10-2022,09:38:00,144,Female,64,Clothing,3,50.0,23.0,150.0
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30.0,14.7,90.0
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500.0,235.0,1500.0
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25.0,10.5,25.0
1163,04-05-2022,10:52:00,120,Female,64,Clothing,3,50.0,27.0,150.0
1303,19-03-2022,08:59:00,58,Male,19,Electronics,3,30.0,15.0,90.0
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500.0,185.0,1500.0
1979,17-08-2022,11:34:00,102,Female,19,Beauty,1,25.0,7.75,25.0
610,18-12-2022,06:56:00,137,Female,26,Beauty,2,300.0,93.0,600.0
1610,23-11-2022,10:18:00,1,Female,26,Beauty,2,300.0,102.0,600.0
32,16-07-2022,09:11:00,150,Male,30,Beauty,3,30.0,8.4,90.0
231,09-07-2022,07:02:00,50,Female,23,Clothing,3,50.0,26.5,150.0
683,06-03-2022,10:22:00,82,Male,38,Beauty,2,500.0,175.0,1000.0
1032,01-04-2022,08:15:00,1,Male,30,Beauty,3,30.0,10.5,90.0
1231,29-01-2022,07:05:00,12,Female,23,Clothing,3,50.0,23.0,150.0
1683,04-05-2022,07:19:00,98,Male,38,Beauty,2,500.0,220.0,1000.0
367,30-12-2022,07:03:00,123,Female,57,Electronics,1,50.0,18.0,50.0
391,25-03-2022,07:37:00,68,Male,19,Beauty,2,25.0,6.25,50.0
432,10-03-2022,11:31:00,17,Female,0,Electronics,2,500.0,190.0,1000.0
1367,15-04-2022,11:38:00,16,Female,0,Electronics,1,50.0,15.5,50.0
1391,01-03-2022,11:29:00,130,Male,0,Beauty,2,25.0,9.25,50.0
1432,25-12-2022,06:24:00,67,Female,0,Electronics,2,500.0,245.0,1000.0
150,13-04-2022,08:25:00,89,Female,0,Electronics,4,30.0,16.2,120.0
